"Gene ID","source_id","Organism","Product Description","Gene Type","Input ID","Gene Name or Symbol","gene_source_id"
"Tb927.1.1350","Tb927.1.1350:mRNA","T. brucei brucei TREU927","kinesin heavy chain, putative","protein coding","Tb927.1.1350","null","Tb927.1.1350"
"Tb927.1.1370","Tb927.1.1370:mRNA","T. brucei brucei TREU927","rRNA biogenesis protein, putative","protein coding","Tb927.1.1370","null","Tb927.1.1370"
"Tb927.1.1390","Tb927.1.1390:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.1.1390","null","Tb927.1.1390"
"Tb927.1.1470","Tb927.1.1470:mRNA","T. brucei brucei TREU927","conserved protein, unknown function","protein coding","Tb927.1.1470","null","Tb927.1.1470"
"Tb927.1.1540","Tb927.1.1540:mRNA","T. brucei brucei TREU927","Tubulin/FtsZ family, putative","protein coding","Tb927.1.1540","null","Tb927.1.1540"
"Tb927.1.1550","Tb927.1.1550:mRNA","T. brucei brucei TREU927","tubulin-tyrosine ligase, putative","protein coding","Tb927.1.1550","null","Tb927.1.1550"
"Tb927.1.1560","Tb927.1.1560:mRNA","T. brucei brucei TREU927","vesicular-fusion protein nsf, putative","protein coding","Tb927.1.1560","null","Tb927.1.1560"
"Tb927.1.1600","Tb927.1.1600:mRNA","T. brucei brucei TREU927","pseudouridine synthase TruD, putative","protein coding","Tb927.1.1600","null","Tb927.1.1600"
"Tb927.1.1620","Tb927.1.1620:mRNA","T. brucei brucei TREU927","ATP-dependent DEAD/H RNA helicase, putative","protein coding","Tb927.1.1620","null","Tb927.1.1620"
"Tb927.1.1630","Tb927.1.1630:mRNA","T. brucei brucei TREU927","transcription elongation factor 1 homolog","protein coding","Tb927.1.1630","ELOF1","Tb927.1.1630"
"Tb927.1.1640","Tb927.1.1640:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.1.1640","null","Tb927.1.1640"
"Tb927.1.1650","Tb927.1.1650:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.1.1650","null","Tb927.1.1650"
"Tb927.1.1670","Tb927.1.1670:mRNA","T. brucei brucei TREU927","ARM-like helical domain-containing protein","protein coding","Tb927.1.1670","null","Tb927.1.1670"
"Tb927.1.1680","Tb927.1.1680:mRNA","T. brucei brucei TREU927","Transcription elongation factor 1 domain-containing protein","protein coding","Tb927.1.1680","null","Tb927.1.1680"
"Tb927.1.1690","Tb927.1.1690:mRNA","T. brucei brucei TREU927","RNA-editing nuclease 1","protein coding","Tb927.1.1690","KREN1","Tb927.1.1690"
"Tb927.1.1700","Tb927.1.1700:mRNA","T. brucei brucei TREU927","AATF protein, putative","protein coding","Tb927.1.1700","null","Tb927.1.1700"
"Tb927.1.1720","Tb927.1.1720:mRNA","T. brucei brucei TREU927","cyclophilin 15, putative","protein coding","Tb927.1.1720","null","Tb927.1.1720"
"Tb927.1.1790","Tb927.1.1790:mRNA","T. brucei brucei TREU927","hypothetical PIN domain-containing protein, conserved","protein coding","Tb927.1.1790","null","Tb927.1.1790"
"Tb927.1.1820","Tb927.1.1820:mRNA","T. brucei brucei TREU927","hypothetical PIN domain-containing protein","protein coding","Tb927.1.1820","null","Tb927.1.1820"
"Tb927.1.1840","Tb927.1.1840:mRNA","T. brucei brucei TREU927","conserved protein, unknown function","protein coding","Tb927.1.1840","null","Tb927.1.1840"
"Tb927.1.1890","Tb927.1.1890:mRNA","T. brucei brucei TREU927","Replication Factor C Subunit 1-related protein","protein coding","Tb927.1.1890","null","Tb927.1.1890"
"Tb927.1.190","Tb927.1.190:pseudogenic_transcript","T. brucei brucei TREU927","retrotransposon hot spot protein (RHS, pseudogene), putative","protein coding","Tb927.1.190","null","Tb927.1.190"
"Tb927.1.1930","Tb927.1.1930:mRNA","T. brucei brucei TREU927","phosphatidylinositol 3-kinase, putative","protein coding","Tb927.1.1930","TOR4","Tb927.1.1930"
"Tb927.1.1980","Tb927.1.1980:mRNA","T. brucei brucei TREU927","protein transport protein YIF1, putative","protein coding","Tb927.1.1980","null","Tb927.1.1980"
"Tb927.1.1990","Tb927.1.1990:mRNA","T. brucei brucei TREU927","Pre-mRNA-splicing factor 38, putative","protein coding","Tb927.1.1990","null","Tb927.1.1990"
"Tb927.1.20","Tb927.1.20:pseudogenic_transcript","T. brucei brucei TREU927","expression site-associated gene 3 (ESAG3), pseudogene","protein coding","Tb927.1.20","null","Tb927.1.20"
"Tb927.1.2100","Tb927.1.2100:mRNA","T. brucei brucei TREU927","Calpain-like protein 1.1","protein coding","Tb927.1.2100","CALP1.1","Tb927.1.2100"
"Tb927.1.2110","Tb927.1.2110:mRNA","T. brucei brucei TREU927","Calpain-like protein 1.2","protein coding","Tb927.1.2110","CALP1.2","Tb927.1.2110"
"Tb927.1.2120","Tb927.1.2120:mRNA","T. brucei brucei TREU927","Calpain-like protein CALP1.3","protein coding","Tb927.1.2120","CALP1.3","Tb927.1.2120"
"Tb927.1.2150","Tb927.1.2150:mRNA","T. brucei brucei TREU927","Small kinetoplastid calpain-related protein 1-4","protein coding","Tb927.1.2150","SKCRP1-4","Tb927.1.2150"
"Tb927.1.2160","Tb927.1.2160:mRNA","T. brucei brucei TREU927","Small kinetoplastid calpain-related protein 1-5","protein coding","Tb927.1.2160","SKCRP1-5","Tb927.1.2160"
"Tb927.1.2190","Tb927.1.2190:mRNA","T. brucei brucei TREU927","Raptor N-terminal CASPase like domain containing protein, putative","protein coding","Tb927.1.2190","null","Tb927.1.2190"
"Tb927.1.220","Tb927.1.220:mRNA","T. brucei brucei TREU927","retrotransposon hot spot protein 1 (RHS1), putative","protein coding","Tb927.1.220","null","Tb927.1.220"
"Tb927.1.2210","Tb927.1.2210:mRNA","T. brucei brucei TREU927","nucleosome assembly protein (NAP), putative","protein coding","Tb927.1.2210","null","Tb927.1.2210"
"Tb927.1.2260","Tb927.1.2260:mRNA","T. brucei brucei TREU927","small myristoylated protein 1-2","protein coding","Tb927.1.2260","SMP1-2","Tb927.1.2260"
"Tb927.1.2320","Tb927.1.2320:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.1.2320","null","Tb927.1.2320"
"Tb927.1.2370","Tb927.1.2370:mRNA","T. brucei brucei TREU927","beta tubulin","protein coding","Tb927.1.2370","null","Tb927.1.2370"
"Tb927.1.240","Tb927.1.240:pseudogenic_transcript","T. brucei brucei TREU927","retrotransposon hot spot protein (RHS, pseudogene), putative","protein coding","Tb927.1.240","null","Tb927.1.240"
"Tb927.1.2400","Tb927.1.2400:mRNA","T. brucei brucei TREU927","alpha tubulin","protein coding","Tb927.1.2400","null","Tb927.1.2400"
"Tb927.1.2410","Tb927.1.2410:pseudogenic_transcript","T. brucei brucei TREU927","beta tubulin, pseudogene","protein coding","Tb927.1.2410","null","Tb927.1.2410"
"Tb927.1.2570","Tb927.1.2570:mRNA","T. brucei brucei TREU927","coatomer beta subunit","protein coding","Tb927.1.2570","beta-coP","Tb927.1.2570"
"Tb927.1.2580","Tb927.1.2580:mRNA","T. brucei brucei TREU927","exosome-associated protein 1","protein coding","Tb927.1.2580","EAP1","Tb927.1.2580"
"Tb927.1.2640","Tb927.1.2640:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.1.2640","null","Tb927.1.2640"
"Tb927.1.2670","Tb927.1.2670:mRNA","T. brucei brucei TREU927","paralyzed flagella 16","protein coding","Tb927.1.2670","PF16","Tb927.1.2670"
"Tb927.1.2710","Tb927.1.2710:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.1.2710","null","Tb927.1.2710"
"Tb927.1.2740","Tb927.1.2740:mRNA","T. brucei brucei TREU927","lipase-like protein, putative","protein coding","Tb927.1.2740","null","Tb927.1.2740"
"Tb927.1.2750","Tb927.1.2750:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.1.2750","null","Tb927.1.2750"
"Tb927.1.2770","Tb927.1.2770:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.1.2770","TZP46","Tb927.1.2770"
"Tb927.1.2820","Tb927.1.2820:mRNA","T. brucei brucei TREU927","pteridine transporter, putative","protein coding","Tb927.1.2820","null","Tb927.1.2820"
"Tb927.1.2880","Tb927.1.2880:mRNA","T. brucei brucei TREU927","pteridine transporter, putative","protein coding","Tb927.1.2880","null","Tb927.1.2880"
"Tb927.1.2970","Tb927.1.2970:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.1.2970","null","Tb927.1.2970"
"Tb927.1.2980","Tb927.1.2980:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.1.2980","null","Tb927.1.2980"
"Tb927.1.2990","Tb927.1.2990:mRNA","T. brucei brucei TREU927","kinetoplast ribosomal PPR-repeat containing protein 2","protein coding","Tb927.1.2990","KRIPP2","Tb927.1.2990"
"Tb927.1.300","Tb927.1.300:pseudogenic_transcript","T. brucei brucei TREU927","retrotransposon hot spot protein (RHS, pseudogene), putative","protein coding","Tb927.1.300","null","Tb927.1.300"
"Tb927.1.3040","Tb927.1.3040:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.1.3040","null","Tb927.1.3040"
"Tb927.1.3050","Tb927.1.3050:mRNA","T. brucei brucei TREU927","tRNA (Uracil-5-)-methyltransferase, putative","protein coding","Tb927.1.3050","null","Tb927.1.3050"
"Tb927.1.3170","Tb927.1.3170:mRNA","T. brucei brucei TREU927","CHORD, putative","protein coding","Tb927.1.3170","null","Tb927.1.3170"
"Tb927.1.3180","Tb927.1.3180:mRNA","T. brucei brucei TREU927","40S ribosomal protein S11, putative","protein coding","Tb927.1.3180","null","Tb927.1.3180"
"Tb927.1.3200","Tb927.1.3200:mRNA","T. brucei brucei TREU927","Suppressor of G2 allele of SKP1, putative","protein coding","Tb927.1.3200","SGT1","Tb927.1.3200"
"Tb927.1.3220","Tb927.1.3220:mRNA","T. brucei brucei TREU927","TBC1 domain family member 20/GTPase, putative","protein coding","Tb927.1.3220","null","Tb927.1.3220"
"Tb927.1.3230","Tb927.1.3230:mRNA","T. brucei brucei TREU927","cell division cycle protein, putative","protein coding","Tb927.1.3230","null","Tb927.1.3230"
"Tb927.1.3260","Tb927.1.3260:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.1.3260","null","Tb927.1.3260"
"Tb927.1.3270","Tb927.1.3270:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.1.3270","null","Tb927.1.3270"
"Tb927.1.330","Tb927.1.330:pseudogenic_transcript","T. brucei brucei TREU927","retrotransposon hot spot protein (RHS, pseudogene), putative","protein coding","Tb927.1.330","null","Tb927.1.330"
"Tb927.1.3300","Tb927.1.3300:mRNA","T. brucei brucei TREU927","Myotubularin-related protein, putative","protein coding","Tb927.1.3300","null","Tb927.1.3300"
"Tb927.1.3310","Tb927.1.3310:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.1.3310","null","Tb927.1.3310"
"Tb927.1.3390","Tb927.1.3390:mRNA","T. brucei brucei TREU927","Eukaryotic protein of unknown function (DUF866), putative","protein coding","Tb927.1.3390","null","Tb927.1.3390"
"Tb927.1.3450","Tb927.1.3450:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.1.3450","null","Tb927.1.3450"
"Tb927.1.3560","Tb927.1.3560:mRNA","T. brucei brucei TREU927","Centrosomal protein of 164 kDa, putative","protein coding","Tb927.1.3560","CEP164C","Tb927.1.3560"
"Tb927.1.3670","Tb927.1.3670:mRNA","T. brucei brucei TREU927","expression site-associated gene 8 (ESAG8) protein, putative","protein coding","Tb927.1.3670","null","Tb927.1.3670"
"Tb927.1.3800","Tb927.1.3800:mRNA","T. brucei brucei TREU927","Present in the outer mitochondrial membrane proteome 18","protein coding","Tb927.1.3800","POMP18","Tb927.1.3800"
"Tb927.1.3830","Tb927.1.3830:mRNA","T. brucei brucei TREU927","glucose-6-phosphate isomerase, glycosomal","protein coding","Tb927.1.3830","PGI","Tb927.1.3830"
"Tb927.1.3840","Tb927.1.3840:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.1.3840","null","Tb927.1.3840"
"Tb927.1.3850","Tb927.1.3850:mRNA","T. brucei brucei TREU927","Sec61beta family, putative","protein coding","Tb927.1.3850","null","Tb927.1.3850"
"Tb927.1.3860","Tb927.1.3860:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.1.3860","null","Tb927.1.3860"
"Tb927.1.3890","Tb927.1.3890:mRNA","T. brucei brucei TREU927","hypothetical protein","protein coding","Tb927.1.3890","null","Tb927.1.3890"
"Tb927.1.3910","Tb927.1.3910:mRNA","T. brucei brucei TREU927","Anaphase-promoting complex subunit CDC23","protein coding","Tb927.1.3910","CDC23","Tb927.1.3910"
"Tb927.1.3940","Tb927.1.3940:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.1.3940","null","Tb927.1.3940"
"Tb927.1.3950","Tb927.1.3950:mRNA","T. brucei brucei TREU927","alanine aminotransferase","protein coding","Tb927.1.3950","ALAT","Tb927.1.3950"
"Tb927.1.4010","Tb927.1.4010:mRNA","T. brucei brucei TREU927","primase 2","protein coding","Tb927.1.4010","null","Tb927.1.4010"
"Tb927.1.4040","Tb927.1.4040:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.1.4040","null","Tb927.1.4040"
"Tb927.1.4050","Tb927.1.4050:mRNA","T. brucei brucei TREU927","ser/thr protein phosphatase, putative","protein coding","Tb927.1.4050","null","Tb927.1.4050"
"Tb927.1.410","Tb927.1.410:pseudogenic_transcript","T. brucei brucei TREU927","retrotransposon hot spot protein (RHS, pseudogene), putative","protein coding","Tb927.1.410","null","Tb927.1.410"
"Tb927.1.4100","Tb927.1.4100:mRNA","T. brucei brucei TREU927","cytochrome oxidase subunit IV","protein coding","Tb927.1.4100","COXIV","Tb927.1.4100"
"Tb927.1.4160","Tb927.1.4160:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.1.4160","null","Tb927.1.4160"
"Tb927.1.4180","Tb927.1.4180:mRNA","T. brucei brucei TREU927","leucine-rich repeat protein (LRRP), putative","protein coding","Tb927.1.4180","null","Tb927.1.4180"
"Tb927.1.420","Tb927.1.420:mRNA","T. brucei brucei TREU927","retrotransposon hot spot protein 5 (RHS5), putative","protein coding","Tb927.1.420","null","Tb927.1.420"
"Tb927.1.4230","Tb927.1.4230:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.1.4230","null","Tb927.1.4230"
"Tb927.1.4280","Tb927.1.4280:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.1.4280","null","Tb927.1.4280"
"Tb927.1.4310","Tb927.1.4310:mRNA","T. brucei brucei TREU927","Flagellum attachment zone protein 2","protein coding","Tb927.1.4310","FAZ2","Tb927.1.4310"
"Tb927.1.4340","Tb927.1.4340:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.1.4340","null","Tb927.1.4340"
"Tb927.1.4370","Tb927.1.4370:mRNA","T. brucei brucei TREU927","Putative integral membrane protein conserved region (DUF2404), putative","protein coding","Tb927.1.4370","null","Tb927.1.4370"
"Tb927.1.4400","Tb927.1.4400:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.1.4400","null","Tb927.1.4400"
"Tb927.1.4410","Tb927.1.4410:mRNA","T. brucei brucei TREU927","SUMO-interacting motif-containing protein","protein coding","Tb927.1.4410","null","Tb927.1.4410"
"Tb927.1.4420","Tb927.1.4420:mRNA","T. brucei brucei TREU927","ABC transporter, putative","protein coding","Tb927.1.4420","null","Tb927.1.4420"
"Tb927.1.4490","Tb927.1.4490:mRNA","T. brucei brucei TREU927","acetyltransferase, putative","protein coding","Tb927.1.4490","null","Tb927.1.4490"
"Tb927.1.450","Tb927.1.450:pseudogenic_transcript","T. brucei brucei TREU927","retrotransposon hot spot protein (RHS, pseudogene), putative","protein coding","Tb927.1.450","null","Tb927.1.450"
"Tb927.1.4500","Tb927.1.4500:mRNA","T. brucei brucei TREU927","SNARE associated Golgi protein, putative","protein coding","Tb927.1.4500","null","Tb927.1.4500"
"Tb927.1.4520","Tb927.1.4520:mRNA","T. brucei brucei TREU927","Zinc finger, C3HC4 type (RING finger), putative","protein coding","Tb927.1.4520","null","Tb927.1.4520"
"Tb927.1.4600","Tb927.1.4600:mRNA","T. brucei brucei TREU927","cyclin-like F-box protein 1D","protein coding","Tb927.1.4600","CFB1D","Tb927.1.4600"
"Tb927.1.4650","Tb927.1.4650:mRNA","T. brucei brucei TREU927","cyclin-like F-box protein 2","protein coding","Tb927.1.4650","CFB2","Tb927.1.4650"
"Tb927.1.4680","Tb927.1.4680:mRNA","T. brucei brucei TREU927","Kinetochore interacting protein 6","protein coding","Tb927.1.4680","KKIP6","Tb927.1.4680"
"Tb927.1.4690","Tb927.1.4690:mRNA","T. brucei brucei TREU927","Protein arginine N-methyltransferase 1 catalytic subunit","protein coding","Tb927.1.4690","PRMT1","Tb927.1.4690"
"Tb927.1.4700","Tb927.1.4700:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.1.4700","null","Tb927.1.4700"
"Tb927.1.4710","Tb927.1.4710:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.1.4710","null","Tb927.1.4710"
"Tb927.1.4720","Tb927.1.4720:mRNA","T. brucei brucei TREU927","SET domain containing protein, putative","protein coding","Tb927.1.4720","null","Tb927.1.4720"
"Tb927.1.4730","Tb927.1.4730:mRNA","T. brucei brucei TREU927","Ribonuclease H2 non-catalytic subunit (Ylr154p-like), putative","protein coding","Tb927.1.4730","null","Tb927.1.4730"
"Tb927.1.4740","Tb927.1.4740:mRNA","T. brucei brucei TREU927","FAM91 N-terminus/FAM91 C-terminus, putative","protein coding","Tb927.1.4740","null","Tb927.1.4740"
"Tb927.1.4780","Tb927.1.4780:mRNA","T. brucei brucei TREU927","Alpha/beta hydrolase domain-containing protein","protein coding","Tb927.1.4780","null","Tb927.1.4780"
"Tb927.1.4810","Tb927.1.4810:pseudogenic_transcript","T. brucei brucei TREU927","hypothetical protein, conserved (pseudogene)","protein coding","Tb927.1.4810","null","Tb927.1.4810"
"Tb927.1.4830","Tb927.1.4830:mRNA","T. brucei brucei TREU927","phospholipase A1","protein coding","Tb927.1.4830","PLA1","Tb927.1.4830"
"Tb927.1.4890","Tb927.1.4890:mRNA","T. brucei brucei TREU927","expression site-associated gene 2 (ESAG2) protein, putative","protein coding","Tb927.1.4890","null","Tb927.1.4890"
"Tb927.1.500","Tb927.1.500:pseudogenic_transcript","T. brucei brucei TREU927","retrotransposon hot spot protein (RHS, pseudogene), putative","protein coding","Tb927.1.500","null","Tb927.1.500"
"Tb927.1.5000","Tb927.1.5000:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.1.5000","null","Tb927.1.5000"
"Tb927.1.5080","Tb927.1.5080:mRNA","T. brucei brucei TREU927","expression site-associated gene 9 (ESAG9) protein, putative","protein coding","Tb927.1.5080","null","Tb927.1.5080"
"Tb927.1.5100","Tb927.1.5100:mRNA","T. brucei brucei TREU927","expression site-associated gene 2 (ESAG2) protein, putative","protein coding","Tb927.1.5100","null","Tb927.1.5100"
"Tb927.1.5170","Tb927.1.5170:mRNA","T. brucei brucei TREU927","variant surface glycoprotein (VSG)-related, putative","protein coding","Tb927.1.5170","null","Tb927.1.5170"
"Tb927.1.5180","Tb927.1.5180:mRNA","T. brucei brucei TREU927","hypothetical protein","protein coding","Tb927.1.5180","null","Tb927.1.5180"
"Tb927.1.5200","Tb927.1.5200:mRNA","T. brucei brucei TREU927","expression site-associated gene 1 (ESAG1) protein, putative","protein coding","Tb927.1.5200","null","Tb927.1.5200"
"Tb927.1.5340","Tb927.1.5340:pseudogenic_transcript","T. brucei brucei TREU927","expression site-associated gene 3 (ESAG3), pseudogene","protein coding","Tb927.1.5340","null","Tb927.1.5340"
"Tb927.1.540","Tb927.1.540:mRNA","T. brucei brucei TREU927","DNA-directed RNA polymerase III, putative","protein coding","Tb927.1.540","RPC128","Tb927.1.540"
"Tb927.1.560","Tb927.1.560:mRNA","T. brucei brucei TREU927","WD domain, G-beta repeat, putative","protein coding","Tb927.1.560","null","Tb927.1.560"
"Tb927.1.570","Tb927.1.570:mRNA","T. brucei brucei TREU927","Histone-lysine N-methyltransferase, H3 lysine-76 specific","protein coding","Tb927.1.570","DOT1B","Tb927.1.570"
"Tb927.1.580","Tb927.1.580:mRNA","T. brucei brucei TREU927","phosphate-repressible phosphate permease, putative","protein coding","Tb927.1.580","null","Tb927.1.580"
"Tb927.1.600","Tb927.1.600:mRNA","T. brucei brucei TREU927","phosphate-repressible phosphate permease, putative","protein coding","Tb927.1.600","null","Tb927.1.600"
"Tb927.1.640","Tb927.1.640:mRNA","T. brucei brucei TREU927","BRCA2","protein coding","Tb927.1.640","null","Tb927.1.640"
"Tb927.1.70","Tb927.1.70:mRNA","T. brucei brucei TREU927","retrotransposon hot spot protein 4 (RHS4), putative","protein coding","Tb927.1.70","null","Tb927.1.70"
"Tb927.1.710","Tb927.1.710:mRNA","T. brucei brucei TREU927","phosphoglycerate kinase","protein coding","Tb927.1.710","PGKB","Tb927.1.710"
"Tb927.1.720","Tb927.1.720:mRNA","T. brucei brucei TREU927","phosphoglycerate kinase","protein coding","Tb927.1.720","PGKA","Tb927.1.720"
"Tb927.1.730","Tb927.1.730:mRNA","T. brucei brucei TREU927","NADH-ubiquinone oxidoreductase complex I subunit, putative","protein coding","Tb927.1.730","null","Tb927.1.730"
"Tb927.1.780","Tb927.1.780:mRNA","T. brucei brucei TREU927","leucine-rich repeat-containing protein","protein coding","Tb927.1.780","null","Tb927.1.780"
"Tb927.1.790","Tb927.1.790:mRNA","T. brucei brucei TREU927","hypothetical transmembrane protein, conserved","protein coding","Tb927.1.790","null","Tb927.1.790"
"Tb927.1.800","Tb927.1.800:mRNA","T. brucei brucei TREU927","hypothetical transmembrane protein","protein coding","Tb927.1.800","null","Tb927.1.800"
"Tb927.1.860","Tb927.1.860:mRNA","T. brucei brucei TREU927","transmembrane protein, putative","protein coding","Tb927.1.860","null","Tb927.1.860"
"Tb927.1.880","Tb927.1.880:mRNA","T. brucei brucei TREU927","Midasin, putative","protein coding","Tb927.1.880","MDN1","Tb927.1.880"
"Tb927.1.890","Tb927.1.890:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.1.890","null","Tb927.1.890"
"Tb927.1.990","Tb927.1.990:mRNA","T. brucei brucei TREU927","Enkuring domain-containig protein","protein coding","Tb927.1.990","null","Tb927.1.990"
"Tb927.10.1000","Tb927.10.1000:mRNA","T. brucei brucei TREU927","hypothetical protein","protein coding","Tb927.10.1000","null","Tb927.10.1000"
"Tb927.10.10000","Tb927.10.10000:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.10.10000","null","Tb927.10.10000"
"Tb927.10.10010","Tb927.10.10010:mRNA","T. brucei brucei TREU927","mRNA turnover protein 4 homolog, putative","protein coding","Tb927.10.10010","MRT4","Tb927.10.10010"
