Pathway Id,Pathway,Unique Gene Count,Genes
PWY-1861,formaldehyde assimilation II (RuMP Cycle),2,Tb927.11.8970 | Tb927.3.3270
PWY-3781,aerobic respiration I (cytochrome c),11,Tb927.1.4100 | Tb927.10.8320 | Tb927.3.1410 | Tb927.4.4620 | Tb927.5.1060 | Tb927.8.1890 | Tb927.8.3380 | Tb927.8.6580 | Tb927.9.14160 | Tb927.9.3170 | Tb927.9.5960
PWY-3801,sucrose degradation II (sucrose synthase),1,Tb927.1.3830
PWY-4302-1,aerobic respiration (alternative oxidase pathway),1,Tb927.10.7090
PWY-5448,aminopropanol biosynthesis,1,Tb927.6.2790
PWY-5484,glycolysis II (from fructose 6-phosphate),3,Tb927.1.700 | Tb927.10.2890 | Tb927.3.3270
PWY-5659,GDP-mannose biosynthesis,1,Tb927.1.3830
PWY-5667,CDP-diacylglycerol biosynthesis I,1,Tb927.8.3530
PWY-5965,fatty acid biosynthesis initiation III,1,Tb927.10.15910
PWY-6074,zymosterol biosynthesis,2,Tb927.11.15530 | Tb927.11.6210
PWY-6125,superpathway of guanosine nucleotides <i>de novo</i> biosynthesis II,1,Tb927.10.11700
PWY-6126,superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II,1,Tb927.11.3650
PWY-702,methionine biosynthesis II,3,Tb927.1.1270 | Tb927.11.9090 | Tb927.9.12040
PWY-7219,adenosine ribonucleotides <i>de novo</i> biosynthesis,1,Tb927.11.3650
PWY-7221,guanosine ribonucleotides <i>de novo</i> biosynthesis,1,Tb927.10.11700
PWY-724,"superpathway of lysine, threonine and methionine biosynthesis II",4,Tb927.1.1270 | Tb927.11.9090 | Tb927.7.4390 | Tb927.9.12040
PWY0-1319,CDP-diacylglycerol biosynthesis II,1,Tb927.8.3530
PWY0-181,salvage pathways of pyrimidine deoxyribonucleotides,1,Tb927.10.880
PWY0-781,aspartate superpathway,1,Tb927.11.5090
PWY0-881,superpathway of fatty acid biosynthesis I (E. coli),2,Tb927.10.11930 | Tb927.10.15910
PWY1G-2,superpathway of glycolysis and TCA variant VIII,5,Tb927.1.3830 | Tb927.1.700 | Tb927.10.2010 | Tb927.10.2890 | Tb927.3.3270
PWY1V8-10,Erythroascorbate biosynthesis,1,Tb927.11.4700
PWY1V8-11,Threonine metabolism,2,Tb927.6.2790 | Tb927.8.6060
PWY1V8-2,Methionine salvage cycle,2,Tb927.10.4580 | Tb927.9.7770
PWY1V8-4,Succinate shunt,1,Tb927.10.2560
PWY1V8-5,trypanothione recycling,1,Tb927.3.3780
PWY1V8-6,Trypanothine biosynthesis and peroxide metabolism,3,Tb927.10.4580 | Tb927.3.3780 | Tb927.9.7770
PWY1V8-8,Acetate/acetyl-CoA metabolism,5,Tb927.10.12700 | Tb927.10.7570 | Tb927.3.1790 | Tb927.6.2790 | Tb927.8.6060
PWY1V8-9,Succinate and Acetate/Acetyl CoA metabolism,6,Tb927.10.12700 | Tb927.10.2560 | Tb927.10.7570 | Tb927.3.1790 | Tb927.6.2790 | Tb927.8.6060
PWY4FS-6,phosphatidylethanolamine biosynthesis II,1,Tb927.5.1140
PWY4FS-6-1,phosphatidylethanolamine biosynthesis II,1,Tb927.5.1140
PWY4FS-7,phosphatidylglycerol biosynthesis I (plastidic),1,Tb927.8.3530
PWY4FS-8,phosphatidylglycerol biosynthesis II (non-plastidic),1,Tb927.8.3530
PYRIDOXAMINEANABOLISM,pyridoxamine anabolism,1,Tb927.6.2740
PYRUVDEHYD-PWY,pyruvate decarboxylation to acetyl CoA,3,Tb927.10.12700 | Tb927.10.7570 | Tb927.3.1790
RUMP-PWY,formaldehyde oxidation I,1,Tb927.1.3830
TCA,TCA cycle I (prokaryotic),4,Tb927.10.2560 | Tb927.8.3380 | Tb927.8.6580 | Tb927.9.5960
TCA-GLYOX-BYPASS,superpathway of glyoxylate bypass and TCA,4,Tb927.10.2560 | Tb927.8.3380 | Tb927.8.6580 | Tb927.9.5960
THREONINE-DEG2-PWY,threonine degradation II,2,Tb927.6.2790 | Tb927.8.6060
TRIGLSYN-PWY,triacylglycerol biosynthesis,3,Tb927.10.13400 | Tb927.10.13700 | Tb927.10.15910
UDPNAGSYN-PWY-1,UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis I,1,Tb927.1.3830
UNSAT-FA-ELONG-PWY,fatty acid elongation -- unsaturated,1,Tb927.10.11930
VALDEG-PWY,valine degradation I,1,Tb927.6.1570
